"id"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"22c4915880d95e62675e5026a893efce"	"d__Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"
"4c52eebca3710ffc5dac6160558c2131"	"d__Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrosopumilales"	"Nitrosopumilaceae"
"1623c46bcbc817586080866a2fb0c5d5"	"d__Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"
"726e90a595eb4e82b88c70f3de4db05f"	"d__Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"SAR202_clade"	"SAR202_clade"
"c54daf404d90526df2a2f24402d4fe15"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_I"
"b365e66c0877d46da62a0da4df818b0f"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"
"0762a703a9c560488ce7e0bc9af1f200"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Terasakiellaceae"
"451df824e6c3d93bcb7c65ae7d866fe0"	"d__Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"
"ff13b5072c89a06482a4abbfb835d4f6"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"
"769593636aad0c52dfffb1ca23b4a9c1"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"
"be8e44bedb9426bf1ab19809c51a709f"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"
"d96ea3fa0e0901003a82b3368cf16607"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"
"927f7c46069f629f5ad0544709a080e6"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"
"13b81923f4fdf0ae8e02bd6595ce49ef"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"
"73c434a77d07c20d70f499ca99470a5d"	"d__Bacteria"	"Firmicutes"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"
"572f9ff2148da07e9dcd16640d2dd967"	"d__Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"
"29d775c0c78c0c73c62221d931001cad"	"d__Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Endozoicomonadaceae"
